NGC6818;19h44.0m;-14d09m;Sextans;Planetary Neb;9.3;22m-15m;Little Gem Neb
NGC6866;20h03.9m;+44d09m;Crux;Open Clus;7.6;15m;Caroline Herschel
NGC6940;20h34.5m;+28d17m;Volans;Open Clus;6.3;25m;Mothra Clus
XXXX;20h40.0m;+41d00m;Crux;DN;----;300m;Northern Coalsack
NGC7008;21h00.5m;+54d33m;Crux;Planetary Neb;9.9;75m;Coat Button Neb
NGC7027;21h07.0m;+42d14m;Crux;Planetary Neb;8.5;18m-10m;Pink Pillow Neb
Tr37;21h39.0m;+57d30m;Centaurus;Open Clus;3.8;90m;IC1396 (Neb)
NGC7380;22h47.3m;+58d08m;Centaurus;Open Clus;7.4;20m;Caroline Herschel
OMe1;23h40.7m;+07d57m;Piscis Austrinus;Asterism;----;15m;Alessi J23407 +0757
NGC7789;23h57.5m;+56d43m;Carina;Open Clus;6.6;25m;Caroline Herschel
NGC7793;23h57.8m;-32d35m;Sagittarius;Gal;9.2;9.2m-6.4m;Bondms Gal
NGC134;00h30.4m;-33d15m;Sagittarius;Gal;10;7.6m-1.5m;Giant Squid Gal
NGC1245;03h14.7m;+47d14m;Pegasus;Open Clus;8.4;10m;None
NGC1300;03h19.7m;-19d25m;Equuleus;Gal;10.4;5.5m-2.9m;None
NGC1491;04h03.4m;+51d19m;Pegasus;Bright Neb;-;25m-25m;None
NGC1514;04h09m;+30d47m;Sextans;Planetary Neb;10.9;2.3m-2.0m;None
NGC2022;05h42.1m;+09d05m;Ophiuchus;Planetary Neb;11;28m-27m;None
NGC3114;10h02.7m;-60d06m;Capricornus;Open Clus;4.2;35m;None
NGC3918;11h50.3m;-57d11m;Cassiopeia;Planetary Neb;8.1;12m;None
IC4406;14h22.4m;-44d09m;Libra;Planetary Neb;10.3;1.7m-0.6m;Retina Neb
NGC5617;14h29.7m;-60d42m;Cassiopeia;Open Clus;6.3;10m;None
NGC5846;15h06.5m;+01d36m;Vela;Gal;10;4.9m-4.4m;None
NGC5907;15h15.9m;+56d20m;Dorado;Gal;10.9;11.2m-1.9m;Splinter Gal
NGC5927;15h28.0m;-50d40m;Libra;Glob Clus;8;6m;None
IC4603;16h25.6m;-24d28m;Octans;Bright Neb;----;35m-20m;None
NGC6356;17h23.6m;-17d49m;Octans;Glob Clus;8.2;10m;None
NGC6388;17h36.3m;-44d44m;Sagittarius;Glob Clus;6.8;10.4m;None
NGC6664;18h36.5m;-08d11m;Scorpius;Open Clus;7.7;12m;None
NGC6781;19h18.5m;+06d32m;Apus;Planetary Neb;11.4;1.9m-1.8m;Ghost of the Moon
NGC6905;20h22.4m;+20d06m;Cygnus;Planetary Neb;11.1;42m-35m;Blue Flash Neb
NGC6939;20h31.5m;+60d40m;Centaurus;Open Clus;7.8;10m;Ghost Bush Clus
